,title,company,salary,description
0,Junior Full Stack Developer I WFH & Office-Hybrid,AGTIV Consulting Sdn Bhd,,"Our projects are with some of the largest banks, insurance, oil & gas as well as pharmaceutical companies in Malaysia, Singapore, India, France, and beyond."
1,Flutter Developer,Brandt International Sdn Bhd,,Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
2,Software Engineer,Wemabox Solutions Sdn. Bhd.,,"Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
3,Mobile App Developer,QuickDesk,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
4,Unity Developer,Hays,,"You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
5,Flutter Developer,BEEDUCATION ADVENTURES SDN BHD,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
6,Account Executive (Digital Media Project),Nuren Group,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
7,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,,"Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
8,Mobile Developer (Flutter),Hays,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
9,Internship for Computer IT (Web Programmer),Dideta Multitech Sdn Bhd,,Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
10,Frontend Engineer,Technerve Technology Solutions Sdn Bhd,,"Minimum 2 years experience in HTML, CSS, and Javascript.
Good understanding of responsive design and mobile optimized websites."
11,Mobile Developer,Tamarix Onesolutions Sdn Bhd,,"✅ Familiar with flutter framework (Added Advantage).
✅ Transform business requirement into mobile apps.
✅ Experienced in IOS and Android Developments."
12,Flutter Developer,ACD Development Sdn. Bhd,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
13,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,,"Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
14,Flutter Junior Programmer,XEERSOFT SDN BHD,,"Design & implement new app modules based on the product requirements using Flutter framework.
Build reusable code and libraries for future use."
15,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
16,Mobile App Developer,Wemabox Solutions Sdn. Bhd.,,"Job Description Mobile App Developer is responsible to design and implement system, feature, and solutions business needs."
17,Junior Programmer,ZR TECHMOTION SDN BHD,,"You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
18,Mobile App Developer (PJ area/Up to 6k/MS SQL),Agensi Pekerjaan Times Management Consultancy Sdn...,,"Developing customized solutions for the mobile platform.
Designing, coding, and implementing mobile applications.
Stay up-to-date with new technology trends."
19,Flutter Developer,Hays,,"In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
20,Quality Assurance Engineer,MHub,,"As a Quality Assurance Engineer, you will be responsible for creating test cases, covering functional, technical and UI end-to-end tests for all products and…"
21,Mobile Apps Developer,Agensi Pekerjaan Career Horizons,,"• Transform business requirements into functional mobile apps.
Monitor, optimize and maintain high performance of the application."
22,PHP developer,Agensi Pekerjaan Synopsis Sdn Bnd,,Requirements: ✅ Have extensive knowledge in exploring API and UI standards ✅ Familiar with php/laravel framework ✅ Familiar with flutter framework (Added…
23,IT Support Engineer,Ninja Van,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
24,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
25,Web & Apps Developer,BLUEDALE INTEGRATED (M) SDN. BHD.,,"Responsible for designing, coding and modifying websites, from layout to function.
Strive to create visually appealing sites that feature user-friendly design…"
26,Software Developer,Pingspace Sdn. Bhd.,,"Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
27,Mobile Application Developer,Nss It Solution Sdh Bhd,,Develop mobile Android and iOS applications • Applicant can possess one or more the following skill set: - Develop iOS application using Swift and/or Obj-C -…
28,Account Executive (Digital Media Project),Startups,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
29,Mobile Application Developer (Cross Platform),Whip Technology Sdn Bhd,,"Develop intuitive and user friendly cross platform application for mobile and tablet devices,.
Support entire application lifecycle (concept, design, test,…"
30,Full Stack Web Application Developer,Agensi Pekerjaan Allstaff Sdn Bhd,,Qualification: • Bachelor's Degree in Computer Science or equivalent Job Scope: • Developing front end website architecture.
31,Mobile App Developer,Marvel Media Sdn Bhd,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
32,FULL STACK WEB APPLICATION DEVELOPER,BLUEWARE MALAYSIA SDN BHD,,"Designing user interactions on web pages.
Developing back end website applications.
Creating servers and databases for functionality."
33,Junior Programmer,DE METROLOGY SDN BHD,,"You will be working on full stack web system and mobile application development.
Requirement: - Study for Software Engineering Major - Working experience on…"
34,Software Developer (PHP),Nuren Group,,"Work in a team of full stack developers and UI/UX designers.
Develop robust, reliable & high traffic internet application (back-end, front-end, mobile)."
35,Software Developer,EV-Dynamic Sdn Bhd,,"Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
36,Mobile App Developer (Flutter),SOFAX SDN BHD,,"Responsible in creating and enhance new features of existing and upcoming project.
Work closely with the project team for in-house application."
37,3D/Web GL Developer,Brandt International Sdn Bhd,,"Design to scale from phones to tablets to desktop monitors.
Create AI-powered interactive 3D assets using WebGL, three.js or new web 3d framework/library."
38,Software Engineer Intern,RedSquare Technologies Sdn Bhd,,"Mobile applications: Java, Kotlin, Swift, JavaScript (React Native), Dart (Flutter).
Degree in Computer Science or Information Technology or any similar…"
39,Software Developer,Skylink Pacific Solutions Sdn Bhd,,"Develop native Android mobile applications and web applications.
Understanding user requirements and provide options for improvised technical solution."
40,Front-end Engineer (Mobile Application),Chargeplus Sdn Bhd,,"You are here not just to code, but also to contribute to business growth initiatives, collaborate with cross-border teams and come up with new tech solutions to…"
41,Customer Support,Ejen2u International Sdn Bhd,,"Knowing some php, mysql, flutter and/or laravel is a plus.
Troubleshoot and respond to client based on the ticket assigned.
In house IT support issue."
42,Mobile Developer,Razer USA Ltd.,,"Work closely with product management and design teams to develop cross platforms mobile applications.
Integrate with back-end services to enable new features."
