,title,company,salary,description
0,INTERNSHIP-Flutter App Developer for Islamic projects,AQ Wise Sdn Bhd,,"Education = Diploma or Bachelor's in IT/Programming/Software Engineering or other related fields.
Willing to work hard and extra hours to complete the projects."
1,Flutter Developer (Intern),Webby Sdn Bhd,"RM 500 - RM 1,000 a week","Architect, build and maintain excellent Flutter applications with clean code.
Implement pixel perfect UI's that match designs.
Integrate third-party API's."
2,Flutter Developer,UP DEVLABS SDN BHD,"RM 4,000 - RM 4,999 a month",Job Description: • Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
3,Flutter Mobile App Developer,Applify Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Architect, design, develop, and maintain Flutter applications.
Integrate various APIs from third parties."
4,Web / App Developer (Internship),Saratix,"RM 800 - RM 1,000 a month","Python coding language (open source coding that can be used for Artificial Intelligence and Machine Learning).
Familiarity in AWS / Google Colab."
5,Flutter Developer,Artisan IT Solution Sdn Bhd,,"Support the entire application lifecycle (concept, design, test, release and support).
Develop fully functional mobile applications writing clean code."
6,Mobile App Developer (Flutter),BIZ Trading & Total Cad Solution SDN. BHD.,"RM 6,000 - RM 7,999 a month",We’re Biz Trading and Total CAD Solutions SDN BHD looking for someone who has talent in mobile app developer who has a good command on single code base…
7,Flutter Mobile App Developer,Ultranet Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
8,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
9,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
10,Mobile Application Developer (Flutter),GME Technical Services Sdn Bhd,"RM 3,000 - RM 5,000 a month","Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.
Maintain and support the existing system."
