,title,company,location,salary,description
0,Mobile Developer - Flutter dev,Serena Emery IT Solutions Sdn Bhd,Cyberjaya,"RM 3,500 - RM 3,999 a month","We are looking for a skilled mobile developer with prior developing experience to create and maintain mobile applications for Andriod, iOS, and Windows devices."
1,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
2,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
3,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
4,Full Time Back End Developer,Startups,Malaysia,,"Php | laravel | mysql | css | html | html5.
Providing full range digital services (online marketing, web hosting, mobile application development, web…"
5,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
6,Flutter Developer (Work From Home – Preferably Cantonese/Man...,Unicorn Creative Limited,Kuala Lumpur•Remote,,"Candidate must possess at least Diploma in Computer Engineer, IT or equivalent;
At least one year experience in Flutter Development for both iOS and Android;"
7,Internship for Front End Developer,Startups,Malaysia,,"Bonus : Familiar with frontend framework like vuejs, flutter, reactjs, reactnative etc.
Good at HTML,PHP,CSS ,JavaScript and MySQL."
8,Mobile Apps Developer (IOS/ Android/ Flutter),IY Staffing Group,Klang,"RM 3,000 - RM 5,000 a month","This is a full time permanent position.
Medical Claims, Medical Insurance, Medical Leaves, Annual Leaves, Monthly Allowances, Annual Bonus, Company Trips and…"
9,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
10,Mobile Developer (Flutter),Hays,Malaysia,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
11,Mobile App Developer (Objective C/Swift),Agensi Pekerjaan EPS Consultants Sdn Bhd,Selangor,"RM 5,500 a month","Season Basement parking, Medical Insurance, Annual Bonus, Quarterly Incentive.
Funclub - Overseas Company Trip, Birthday Party, sports and other activities."
12,Web & Mobile Developer,Softoya International Sdn Bhd,Teluk Panglima Garang,"RM 2,000 - RM 3,000 a month","Programming : Java / Ajax / Jquery / HTML5 / PHP / Javascript / AngularJS / CSS / Ruby on Rail.
Framework : IONIC, Flutter, React Native, Android Studio, XCode."
13,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
14,Software Developer Mobile App Intern,DeltaFrontier,Kuala Lumpur•Temporarily Remote,RM 600 - RM 750 a month,"Design and build Android and iOS mobile applications.
Work closely with design, product management, and development teams to analyse, design, and ship new…"
15,Application Developer - RS,Plaza Premium Group,Kuala Lumpur,"RM 6,000 - RM 8,000 a month","Develop native Android mobile applications and web applications.
Work closely with developers, testers and business analyst to ensure deliverables are up to…"
16,Software Developer,Pingspace Sdn. Bhd.,Bayan Lepas•Temporarily Remote,"RM 3,500 a month","Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
17,Flutter App Developer,WOBB,Puchong,,"Mobile app developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device…"
18,Flutter Developer,Hays,Malaysia,"RM 8,000 a month","In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
19,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
20,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
21,Developer Computer Science Intern (6 months),Mysuri Biz Technologies Sdn Bhd,Cyberjaya,"RM 1,200 a week","Stack : HTML CSS JavaScript jQuery - Good to have basic knowledge in back-end framework like laravel / nodejs, but not compulsory - Fresh grad is encouraged to…"
22,Mobile Application Developer,E-INFOMEDIA SOLUTIONS SDN BHD,Subang Jaya,"RM 4,000 - RM 4,999 a month","Requirements 2-5 years experiences in cross platform mobile development (preferably Flutter).
Experience and knowledge with web service integration."
23,Software Developer,WELORY INNOVATION SDN BHD,Kota Damansara•Remote,"RM 2,500 - RM 3,500 a month","Develop, enhance and test customised software and mobile apps to meet the requirements.
Participates in the entire software development cycle."
24,Android Developer 1,Sicpa,Malaysia,,"Work on defining and implementing nextWork on defining and implementing next-generation, innovative architecture for Android mobile application."
25,Junior/Senior Backend Developer,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 7,000 a month","We are looking for experienced talents in the area of web platforms, web architectures, coding standard, databases, AI technology and mobile apps."
26,IT Support Engineer,Ninja Van,Shah Alam,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
27,Account Executive (Digital Media Project),Nuren Group,Malaysia,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
28,Flutter Developer,GetEat,Klang,"RM 5,000 - RM 9,000 a month","You will interact with talented stakeholders and learn cutting-edge technologies.
Publishing apps on to App Store.
Publishing apps on to Google Play."
29,Junior Software Engineer,RedSquare Technologies Sdn Bhd,Kuala Lumpur•Remote,"RM 3,500 - RM 5,001 a month","Mobile applications: Java, Kotlin, Swift, JavaScript (React Native), Dart (Flutter).
Degree in Computer Science or Information Technology or any similar…"
30,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,311 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
31,Software Developer (PHP),Nuren Group,Malaysia,,"Work in a team of full stack developers and UI/UX designers.
Develop robust, reliable & high traffic internet application (back-end, front-end, mobile)."
32,Mobile Engineer - Flutter (Remote possible),Glints,Kuala Lumpur•Remote,,"Glints engineers are product-driven, with the customers as the starting point.
We also invest in good developer experience, and set aside time to manage…"
33,Junior/Senior Programmer,BCDE Digital,Cheras,"RM 5,000 - RM 12,000 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
34,Full Stack Developer,SK EDUCATION SDN. BHD.,Bukit Mertajam,"RM 3,000 - RM 3,499 a month","You’ll be part of a functional team that’s responsible for the full software development life cycle, from conception, deployment up to maintenance."
35,3D/Web GL Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 7,000 a month","Design to scale from phones to tablets to desktop monitors.
Create AI-powered interactive 3D assets using WebGL, three.js or new web 3d framework/library."
36,Mobile Application Developer,INNOVATZ SOLUTIONS SDN BHD,Kuala Lumpur,"RM 13,000 - RM 15,999 a year","Responsibility : • Develop mobile applications using React Native framework/Expo • Participate in the entire product’s lifecycle (analyze, develop, test,…"
37,Programmer,TBS Solutions Sdn Bhd,Penang,"RM 2,500 - RM 5,000 a month","At least 2 year(s) experiences in WEB or Mobile APPS (either iOS or Android) development.
Candidate must possess at least a Bachelor's Degree, Post Graduate…"
38,Python Developer,Coreil Consulting,Kuala Lumpur,"RM 2,800 - RM 3,000 a month","It is also better if the candidate had experience in both web and mobile development.*.
As a developer, you will be responsible for designing and develop Python…"
39,Mobile App Engineer,Agensi Pekerjaan EPS Consultants Sdn Bhd,Penang,,"Participate in design and developing of mobile user interface.
Liaison and collaborate with Technical Architect for front-end architecture."
40,"Hiring for ""Android Application Engineer I""",Quess Corp Limited,Penang,,"Minimum Bachelor's degree in Computer Science or Engineering.
Contribute to developing Public Safety Platform Application on Android using mobile technologies."
41,Software Engineer II,AirAsia,Kuala Lumpur,,"The technology center comprises a team of software engineering and technology experts based in Malaysia, Bangalore, and Singapore, who would work to streamline…"
42,Software .NET Developer,Webmax Technologies Sdn Bhd,Batu Caves•Temporarily Remote,"RM 5,000 - RM 8,000 a month","Participate in system requirements gathering session with business and system analysts.
Web and Mobile application development, coding, design & architecture."
43,System Analyst / Analyst Programmer,Subur Tiasa Holdings Berhad,Sibu,,"Job Responsibility:To play a proactive role in deriving system solutions to any given business requirement or problem To design, develop, integrate, test,…"
44,"Software Engineer, Frontend",Yara,Kuala Lumpur,,"Smallholder regions are characterized by low living standards, high rates of illiteracy and low agricultural productivity."
45,"Software Engineer, Frontend",Yara,Kuala Lumpur,,"Smallholder regions are characterized by low living standards, high rates of illiteracy and low agricultural productivity."
46,Software Developer (Android),JP CALIBER SDN BHD,Kuala Lumpur,,"Design and build advanced applications for the Android platform.
Collaborate with cross-functional teams to define, design, and ship new features."
47,Account Executive (Digital Media Project),Nuren Group,Malaysia,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
48,Junior/Senior Backend Developer,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 7,000 a month","We are looking for experienced talents in the area of web platforms, web architectures, coding standard, databases, AI technology and mobile apps."
49,Mobile Engineer - Flutter (Remote possible),Glints,Kuala Lumpur•Remote,,"Glints engineers are product-driven, with the customers as the starting point.
We also invest in good developer experience, and set aside time to manage…"
